train_loss,test_loss,train_accuracy,test_accuracy
0,1.2191700897718731,0.7845325112342835,0.6932082565789475,0.7650455555555555
1,0.6326127086030809,0.5644896702633964,0.8105651644736841,0.8093404166666665
2,0.4667261370702794,0.5370185087124507,0.8514960197368421,0.8250134722222222
3,0.36592939009791925,0.5040106038252513,0.8796324671052631,0.8199280555555556
4,0.3838502769799609,0.47480895386801825,0.8730246710526317,0.8381180555555556
5,0.31357308696759373,0.43235021548138725,0.8927663157894737,0.8524948611111111
6,0.28827535168905005,0.4297361258003447,0.8995564473684211,0.8526770833333334
7,0.3166419974675304,0.41706141514910594,0.8917694078947369,0.8595597222222223
8,0.2774244182988217,0.43447657078504565,0.903170625,0.8570302777777778
9,0.2538578313236174,0.5190512438615164,0.9094063815789474,0.8176518055555555
10,0.2610135805057852,0.38520246164666283,0.908137927631579,0.8696152777777778
11,0.26505919343938955,0.38784720682435564,0.9060668749999999,0.8713231944444445
12,0.24438712545915653,0.3183261978957388,0.9126987171052633,0.8970052777777777
13,0.2441115891855014,0.34570221917496785,0.9128315460526315,0.8852797222222222
14,0.23361326632531065,0.37009473674827154,0.9160285197368422,0.8807202777777778
15,0.2300498254597187,0.3606781431370311,0.9172493421052632,0.8786638888888889
16,0.2382173290378169,0.3139553699228499,0.9141172697368422,0.8953063888888887
17,0.25125826601135104,0.3439879755179087,0.9105868092105263,0.8857816666666668
18,0.23616233658241598,0.36858418252733016,0.9150207236842105,0.8791680555555555
19,0.22089982166102057,0.3452772435214784,0.919739802631579,0.8866300000000001
